,Publication
12801,Isolated lipstick-like ulceration of the ileocecal valve: A hallmark of cytomegalovirus colitis
12802,PD-L1 expression in sebaceous carcinomas
12803,Shrimp culture in inland low salinity waters
12804,Ingestion of metal-nanoparticle contaminated food disrupts endogenous microbiota in zebrafish (Danio rerio)
12805,Effects of dietary lipid levels on growth performance of marbled spinefoot rabbitfish Siganus rivulatus
12806,"Molting, reproductive biology, and hatchery management of redclaw crayfish Cherax quadricarinatus (von Martens 1868)"
12807,A review of nutritional biology and dietary requirements of redclaw crayfish Cherax quadricarinatus (von Martens 1868)
12808,A Review of the Culture and Diseases of Redclaw Crayfish Cherax quadricarinatus (Von Martens 1868)
12809,Evaluation of practical diets containing various terrestrial protein sources on survival and growth parameters of redclaw crayfish Cherax quadricarinatus
12810,"Anaesthetic efficacy of clove oil, Benzocaine, 2-phenoxyethanol and tricaine methanesulfonate in juvenile marbled spinefoot (Siganus rivulatus)"
12811,Dietary protein requirement of juvenile marbled spinefoot rabbitfish Siganus rivulatus
12812,An ex vivo approach to studying the interactions of Pediococcus acidilactici and vibrio (Listonella) anguillarum in the anterior intestine of rainbow trout oncorhynchus mykiss
12813,Effects of water temperature and body weight on anaesthetic efficiency in marbled rabbitfish (Siganus rivulatus)
12814,"Acute and chronic effects of aqueous ammonia on marbled spinefoot rabbitfish, Siganus rivulatus (Forsskål 1775)"
12815,"Hydrogel Banding Improves Plant Growth, Survival, and Water Use Efficiency in Two Calcareous Soils"
12816,Roof top gardens as a means to use recycled waste and A/C condensate and reduce temperature variation in buildings
12817,Improving water use efficiency in semi-arid regions through integrated aquaculture/agriculture
12818,"Feed regimen affects growth, condition index, proximate analysis and myocyte ultrastructure of juvenile spinefoot rabbitfish Siganus rivulatus"
12819,"Effect of continuous water movement on growth and body composition of Juvenile rabbitfish, Siganus rivulatus"
12820,Effect of Dietary Protein Level on Growth Performance and Blood Parameters of Marbled Spinefoot Siganus rivulatus
12821,"Substitution of fish meal by soybean meal in diets for juvenile marbled spinefoot, Siganus rivulatus"
12822,"Anesthetic Efficacy of Clove Oil, Propofol, 2-Phenoxyethanol, and Ketamine Hydrochloride on Persian Sturgeon, Acipenser persicus, Juveniles"
12823,Seasonal Changes in Phosphorus Content of Fish Tissue as They Relate to Diets of Renal Patients
12824,"Effect of size sorting on growth performance of juvenile spinefoot rabbitfish, siganus rivulatus"
12825,Lignocellulose improves protein and amino acid digestibility in roosters and egg hatchability in broiler breeders
12826,Effects of salinity on standard metabolic rate of juvenile marbled spinefoot (Siganus rivulatus)
12827,Toxicity of Four Chemotherapeutic Agents to Rabbitfish Siganus rivulatus
12828,Using restaurant food waste as feed for Nile tilapia production
12829,"Growth, feed utilization and body composition of white sea bream diplodus sargus juveniles offered diets with various protein and energy levels"
12830,Clove oil as an anaesthetic for Australian redclaw crayfish Cherax quadricarinatus
12831,Ensuring food security by improving “freshwater use efficiency” or by farming the seas
12832,"Effect of cannabis oil on growth performance, haematology and metabolism of Nile Tilapia Oreochromis niloticus"
12833,Survival and respiration of marbled rabbitfish (Siganus rivulatus) fingerlings at various oxygen tensions
12834,Effects of stargrass hay supplementation on growth and survival of juvenile redclaw crayfish cherax quadricarinatus
12835,"Evaluation of post-consumer food waste as partial replacement of commercial feed in marbled rabbitfish, Siganus rivulatus aquaculture"
12836,Potential biodiesel production from mixed phytoplankton cultures collected off the Lebanese coast
12837,Potential biodiesel production from four green microalgae cultures collected off the Lebanese coast
12838,"The mobile colistin resistance gene, mcr-1.1, is carried on incx4 plasmids in multidrug resistant e. coli isolated from rainbow trout aquaculture"
12839,Preliminary assessment of restaurant food waste as a feed ingredient for small juvenile rainbow trout (Oncorhynchus mykiss)
12840,Food loss and food waste recovery as animal feed: a systematic review
12841,"Influence of salinity on survival, growth, hemolymph osmolality, gill sodium potassium ATPase activity, and sodium potassium chloride co-transporter expression in the redclaw crayfish Cherax quadricarinatus"
12842,Effect of the Human Probiotic Bacterium Escherichia coli Nissle (1917) on performance and immune response of Nile tilapia Oreochromis niloticus
12843,Effective desiccant dehumidification system with two-stage evaporative cooling for hot and humid climates
12844,"Toxocara canis myelitis: Clinical features, Magnetic Resonance Imaging (MRI) findings, and treatment outcome in 17 patients"
12845,Swine atrioventricular node ablation using stereotactic radiosurgery: Methods and in vivo feasibility investigation for catheter-free ablation of cardiac arrhythmias
12846,Fibroblastic and myofibroblastic tumors of the head and neck: Comprehensive imaging-based review with pathologic correlation
12847,Hyperphosphatemic familial tumoral calcinosis secondary to fibroblast growth factor 23 (FGF23) mutation: a report of two affected families and review of the literature
12848,Thalamic volume and dimensions on MRI in the pediatric population: Normative values and correlations: (A cross sectional study)
12849,"Comparison of CO, PAH, Nicotine, and Aldehyde Emissions in Waterpipe Tobacco Smoke Generated Using Electrical and Charcoal Heating Methods"
12850,Value of sagittal fat-suppressed proton-density fast-spin-echo of the knee joint as a limited protocol in evaluating internal knee derangements
12851,Evaluation of the appropriateness criteria for coronary computed tomography angiography in an academic medical center in a developing country: Comparison of the 2006 and 2010 criteria
12852,Case report of epithelioid osteoblastoma of the mandible: findings on positron emission tomography/computed tomography and review of the literature
12853,Effective desiccant dehumidification system with two-stage evaporative cooling for hot and humid climates
12854,Quantifying the impact of using Coronary Artery Calcium Score for risk categorization instead of Framingham Score or European Heart SCORE in lipid lowering algorithms in a Middle Eastern population
12855,The role of SPECT/CT in detection and localization of sentinel lymph node in breast cancer
12856,"Does the Bubbler Scrub Key Toxicants from Waterpipe Tobacco Smoke?: Measurements and Modeling of CO, NO, PAH, Nicotine, and Particulate Matter Uptake"
12857,Hot Wires and Film Boiling: Another Look at Carbonyl Formation in Electronic Cigarettes
12858,Low cost arduino/android-based energy-efficient home automation system with smart task scheduling
12859,Bayesian model fusion: Large-scale performance modeling of analog and mixed-signal circuits by reusing early-stage data
12860,A thermal and process variation aware MTJ switching model and its applications in soft error analysis
12861,Strained SOI FINFET SRAM design
12862,Yield estimation via multi-cones
12863,A low power reconfigurable LFSR
12864,Identity Based Key Distribution Framework for Link Layer Security of AMI Networks
12865,PUF and ID-based key distribution security framework for advanced metering infrastructures
12866,Impact of FinFET technology for power gating in nano-scale design
12867,Super fast physics-based methodology for accurate memory yield prediction
12868,Efficient analog circuit optimization using sparse regression and error margining
12869,A thermal and process variation aware MTJ switching model and its applications in soft error analysis
12870,Data imbalance handling approaches for accurate statistical modeling and yield analysis of memory designs
12871,A universal hardware-driven PVT and layout-aware predictive failure analytics for SRAM
12872,"RRAM endurance and retention: Challenges, opportunities and implications on reliable design"
12873,Separation of concerns for hardware components of embedded systems in BIP
12874,Sparse regression driven mixture importance sampling for memory design
12875,Unmasking the interplay between mTOR and Nox4: novel insights into the mechanism connecting diabetes and cancer
12876,Statistical methodology for modeling non-IID memory fails events
12877,A radiation pattern reconfigurable antenna for WLAN access
12878,Making reliable memories in an unreliable world (invited)
12879,Neuropsychological findings in Hamamy syndrome: A clinical case report
12880,A novel sample reuse methodology for fast statistical simulations with applications to manufacturing variability
12881,Electromagnetic based devices for non-invasive glucose monitoring
12882,Robust bias temperature instability refresh design and methodology for memory cell recovery
12883,Regularized logistic regression for fast importance sampling based SRAM yield analysis
12884,Novel 4 GHz interleaved SRAM cells with asymmetrical precharge in 45 nm PDSOI technology
12885,An Antenna System with a Voice-Controlled Personalized Switchable Radiation Coverage
12886,Smoking we do notwant to quit!
12887,Yield and energy tradeoffs of an NVLatch design using radial sampling
12888,A log-periodic based broadband reject filter for dielectric constant characterization
12889,Automated FPGA implementations of BIP designs
12890,A Miniaturized Reconfigurable UHF Antenna
12891,Verification at RTL Using Separation of Design Concerns
12892,Hardware-corroborated variability-aware SRAM methodology
12893,Designing stable circuits in the world of instability
12894,Erratum: Super fast physics-based methodology for accurate memory yield prediction (IEEE Transactions on Very Large Scale Integration (VLSI) Systems (2015) 23: 3 (534-543))
12895,Double error cellular automata-based error correction with skip-mode compact syndrome coding for resilient PUF design
12896,Low power GDI ALU design with mixed logic adder functionality
12897,A slot antenna for non-invasive detection of blood constituents concentrations
12898,"Noninvasive, wearable, and tunable electromagnetic multisensing system for continuous glucose monitoring, mimicking vasculature anatomy"
12899,Design Exploration of Sensing Techniques in 2T-2R Resistive Ternary CAMs
12900,A Non-Invasive Flexible Glucose Monitoring Sensor using a Broadband Reject Filter
12901,Measurement of expressive vocabulary in multilingual children using the dual-Focus approach method for test development
12902,Secure MIMO D2D communication based on a lightweight and robust PLS cipher scheme
12903,Factors associated with motor dexterity on the grooved pegboard test in a Lebanese sample
12904,Threshold Switch Modeling for Analog CAM Design
12905,Characteristics of social media ‘detoxification’ in university students
12906,The current state of patient safety culture in lebanese hospitals: A study at baseline
12907,Predictors and outcomes of patient safety culture in hospitals
12908,Fe 0-based trimetallic systems for the removal of aqueous diclofenac: Mechanism and kinetics
12909,Aqueous removal of diclofenac by plated elemental iron: Bimetallic systems
12910,Investigating the mechanism of clofibric acid removal in Fe0/H2O systems
12911,Immune checkpoint inhibitors in advanced non–small cell lung cancer
12912,Nurses' work environment and intent to leave in Lebanese hospitals: Implications for policy and practice
12913,"Prevalence and predictors for post-traumatic stress disorder, depression and general health in a population from six villages in South Lebanon"
12914,"Occupational violence at lebanese emergency departments: Prevalence, characteristics and associated factors"
12915,"A national study on nurses' exposure to occupational violence in Lebanon: Prevalence, consequences and associated factors"
12916,BRCA1 and BRCA2 mutations in ethnic lebanese Arab womenwith high hereditary risk breast cancer
12917,A national study on nurses' retention in healthcare facilities in underserved areas in Lebanon
12918,The retention of health human resources in primary healthcare centers in Lebanon: A national survey
12919,"Anxiety, depression and quality of life in breast cancer patients in the levant"
12920,Egfr as a clinical marker in glioblastomas and other gliomas
12921,"Intention to stay of nurses in current posts in difficult-to-staff areas of Yemen, Jordan, Lebanon and Qatar: A cross-sectional study"
12922,Lymph-node ratio is an independent prognostic factor in patients with stage III colorectal cancer: A retrospective study from the Middle East
12923,Lymph node ratio is an independent prognostic factor after resection of periampullary malignancies: Data from a tertiary referral center in the middle east
12924,Nurses' attitudes toward the use of the bar-coding medication administration system
12925,Using mobile health to enhance outcomes of noncommunicable diseases care in rural settings and refugee camps: Randomized controlled trial
12926,Outcome of breast cancer patients treated outside of clinical trials
12927,"Hospital accreditation, reimbursement and case mix: Links and insights for contractual systems"
12928,Long-term phonatory instability in ataxic dysarthria
12929,eHealth as a facilitator of equitable access to primary healthcare: the case of caring for non-communicable diseases in rural and refugee settings in Lebanon
12930,Therapeutic interventions in adult low-grade gliomas
12931,Re: Tumor boards and the quality of cancer care
12932,Prevalence and severity of sleep disturbances among patients with early breast cancer
12933,Quality of palliative care; Perspective of Lebanese patients with cancer
12934,Ki67 and P53 in Relation to Disease Progression in Metastatic Pancreatic Cancer: a Single Institution Analysis
12935,Ratio between positive lymph nodes and total excised axillary lymph nodes as an independent prognostic factor for overall survival in patients with nonmetastatic lymph node-positive breast cancer
12936,Dietarypatterns in cardiovascular diseases prevention and management: Review of the evidence and recommendations for primary care physicians in Lebanon
12937,Validation of an Arabic version of the GHQ–28 against the beck depression inventory for screening for depression in war-exposed civilians
12938,Management of paclitaxel-induced hand-foot syndrome
12939,Perceptions and behaviors of patients and pharmacists towards generic drug substitution in Lebanon
12940,Prevalence of EGFR and ALK mutations in lung adenocarcinomas in the Levant area - A prospective analysis
12941,Primary small cell carcinoma of the breast: A case report
12942,MHealth use for non-communicable diseases care in primary health: Patients' perspective from rural settings and refugee camps
12943,ASCO's International programs and how you can become involved
12944,Controversial indications for sentinel lymph node biopsy in breast cancer patients
12945,Evidence-informed health policies in Eastern Mediterranean countries: Comparing views of policy makers and researchers
12946,Thiotepa 10 mg/kg Treatment Regimen Is Superior to Thiotepa 5 mg/kg in TBF Conditioning in Patients Undergoing Allogeneic Stem-Cell Transplantation
12947,A simple prognostic model for overall survival in metastatic renal cell carcinoma
12948,Management of leptomeningeal metastasis in breast cancer
12949,Anaplastic meningioma presenting as a left parietal mass: A case report
12950,Prognostic significance of O6-methylguanine-DNA-methyltransferase (MGMT) promoter methylation and isocitrate dehydrogenase-1 (IDH-1) mutation in glioblastoma multiforme patients: A single-center experience in the Middle East region
12951,Malignant melanoma with metaplastic cartilaginous transdifferentiation: A case report
12952,Lung cancer and immunotherapy: A real-life experience from second line and beyond
12953,Prevalence of T790M mutation among TKI-therapy resistant Lebanese lung cancer patients based on liquid biopsy analysis: a first report from a major tertiary care center
12954,Prognosis and management of gliosarcoma patients: A review of literature
12955,Evaluation of prophylactic dosages of Enoxaparin in non-surgical elderly patients with renal impairment
12956,Emerging Biomarkers of the Future: Changing Clinical Practice for 2020
12957,Distribution and predictors of emergency department charges: The case of a tertiary hospital in Lebanon
12958,"Recent progress in mutation-driven therapy, immunotherapy and combination therapy for the treatment of Melanoma"
12959,"Association between payer mix and costs, revenues and profitability: A cross-sectional study of lebanese hospitals"
12960,"Intracystic papillary carcinoma: clinical presentation, patterns of practice, and oncological outcomes"
12961,Phyllodes tumors of the breast treated in a tertiary health care center: case series and literature review
12962,The use of heparin and heparin-like molecules in cancer treatment: a review
12963,Neoadjuvant chemotherapy and Avelumab in early stage resectable nonsmall cell lung cancer
12964,Prevalence of depression symptoms and associated sociodemographic and clinical correlates among Syrian refugees in Lebanon
12965,Sex-based differences in myocardial infarction-induced kidney damage following cigarette smoking exposure: More renal protection in premenopausal female mice
12966,Fertility in Breast Cancer Survivors in the Middle East: A Retrospective Study
12967,Demographics and outcomes of meningioma patients treated at a tertiary care center in the Middle East
12968,Views of community pharmacists in lebanon on the unified prescription: A mixed method study
12969,Correlation of genetic alterations by wholeexome sequencing with clinical outcomes of glioblastoma patients from the Lebanese population
12970,"Corrigendum to “Demographics and outcomes of meningioma patients treated at a tertiary care center in the Middle East” [Clin. Neurol. Neurosurg. 195 (2020) 105846] (Clinical Neurology and Neurosurgery (2020) 195, (S030384672030189X), (10.1016/j.clineuro.2020.105846))"
12971,Safety and efficacy of pazopanib as a second-line treatment and beyond for soft tissue sarcomas: A real-life tertiary-center experience in the MENA region
12972,Genomic Assays in Node Positive Breast Cancer Patients: A Review
12973,Nicotine exposure in daily waterpipe smokers and its relation to puff topography
12974,"A comparative study of systemic carcinogen exposure in waterpipe smokers, cigarette smokers and Non-Smokers"
12975,Impact of the WHO FCTC on non-cigarette tobacco products
12976,Robust sensorless scalar control of induction motor drives with torque capability enhancement at low speeds
12977,A Machine Learning Approach for Adaptive Classification of Power MOSFET Failures
12978,Data-Driven Approach for Fault Prognosis of SiC MOSFETs
12979,Adaptive Ripple Correlation Control (ARCC) for Solar Maximum Power Point Tracking
12980,"Modeling, Design, and Implementation of a Novel Transformer-less Feedforward-controlled Active EMI Filter for AC-DC Power Converters"
12981,Model-based MPPT with Corrective Ripple Correlation Control
12982,LQI control for dual-input DC-DC converter
12983,Condition Monitoring of DC-link Capacitors in Grid-tied Solar Inverters Using Data-Driven Techniques
12984,Direct calculation of SVPWM switching sequence for reconfigurable n-level inverter in propulsion applications
12985,Design and control of a series DC Active Filter (SDAF) for MVDC marine applications
12986,Open-Circuit Fault Reconfiguration of Multiphase Interleaved DC-DC Converter
12987,DOCK8 functions as an adaptor that links TLR-MyD88 signaling to B cell activation
12988,"Regulatory T-cell deficiency and immune dysregulation, polyendocrinopathy, enteropathy, X-linked-like disorder caused by loss-of-function mutations in LRBA"
12989,Flow cytometry diagnosis of dedicator of cytokinesis 8 (DOCK8) deficiency
12990,A novel homozygous mutation in recombination activating gene 2 in 2 relatives with different clinical phenotypes: Omenn syndrome and hyper-IgM syndrome
12991,Hematopoietic stem cell transplantation outcomes for 11 patients with dedicator of cytokinesis 8 deficiency
12992,A novel mutation in FOXN1 resulting in SCID: A case report and literature review
12993,Comprehensive genetic results for primary immunodeficiency disorders in a highly consanguineous population
12994,The Lack of WIP Binding to Actin Results in Impaired B Cell Migration and Altered Humoral Immune Responses
12995,Rethinking newborn screening for severe combined immunodeficiency: Lessons from an international partnership for patients with primary immunodeficiencies in Pakistan
12996,Mutations in pyrin masquerading as a primary immunodeficiency
12997,Inherited human IFN-γ deficiency underlies mycobacterial disease
12998,Hypomorphic variants in AK2 reveal the contribution of mitochondrial function to B-cell activation
12999,Frequency and Manifestations of Autoimmunity Among Children Registered in the Kuwait National Primary Immunodeficiency Registry
13000,Wiskott-Aldrich Syndrome in four male siblings from a consanguineous family from Lebanon
13001,Corporate Social Responsibility in Developing Countries as an Emerging Field of Study
13002,Gendering CSR in the Arab Middle East: An institutional perspective
13003,"CSR logics in developing countries: Translation, adaptation and stalled development"
13004,Localizing women's experiences in academia: multilevel factors at play in the Arab Middle East and North Africa
13005,The HR value proposition model in the Arab Middle East: Identifying the contours of an Arab Middle Eastern HR model
13006,A Cross-Cultural and Feminist Perspective on CSR in Developing Countries: Uncovering Latent Power Dynamics
13007,From female leadership advantage to female leadership deficit: A developing country perspective
13008,Corporate Social Responsibility and Job Choice Intentions: A Cross-Cultural Analysis
13009,"Structure, agency, and notions of career success a process-oriented, subjectively malleable and localized approach"
13010,Walking a tightrope or navigating a web: Parameters of balance within perceived institutional realities
13011,Perceptions of the ethicality of favors at work in Asia: An 11-society assessment
13012,Contextualizing Cultural Orientation and Organizational Citizenship Behavior
13013,The triple-bottom-line of corporate responsibility: Assessing the attitudes of present and future business professionals across the BRICs
13014,The formative role of contextual hardships in women's career calling
13015,CSR in developed versus developing countries: A comparative glimpse
13016,Effect of weight gain during pregnancy on heart rate variability and hypotension during caesarean section under spinal anaesthesia
13017,Good organizational soldiers: Conflict-related stress predicts citizenship behavior
13018,A New Index for Pre-Operative Cardiovascular Evaluation
13019,Communist footprint and subordinate influence behavior in post-communist transition economies
13020,Introduction: Corporate social responsibility in developing countries: A development-oriented approach
13021,A failure before analysis: The soup to nuts of preparing for multicountry analyses
13022,Changes in work values across the regions of China
13023,Women and the legitimization of (not) engaging in paid work: logics from Lebanon
13024,Development-oriented corporate social responsibility
13025,"Teaching business ethics in the global South: control, resistance, and phronesis"
13026,Introduction: Corporate social responsibility in developing countries: A development-oriented approach
13027,Development-oriented corporate social responsibility
13028,The global refugee crisis and the career ecosystem
13029,Gender and governance in developing economies
13030,The prescription opioid epidemic in developed versus underdeveloped countries: Is there a happy medium?
13031,Low back pain as perceived by the pain specialist
13032,Multilevel power dynamics shaping employer anti-sexual harassment efforts in Lebanon
13033,Anesthesia for contouring body in post-bariatric surgery patient
13034,Randomized cross over study comparing the first attempt success rate of intravenous cannulation in children using the AccuVein AV 300 apparatus versus the standard technique
13035,Low back pain as perceived by the pain specialist
13036,Loss of consciousness in a parturient following the administration of a test dose for epidural anesthesia
13037,Contextual embeddedness of careers: female “nonsurvivors” and their gendered relational context
13038,Propofol use in children: Updates and controversies
13039,Career constructions and a feminist standpoint on the meaning of context
13040,Mechanism of revert spacing in a PbCrO4 Liesegang system
13041,Liesegang banding and multiple precipitate formation in cobalt phosphate systems
13042,On dynamic self-organization: Examples from magmatic and other geochemical systems
13043,Revisited Chaos in a Diffusion-Precipitation-Redissolution Liesegang System
13044,"Band, target, and onion patterns in Co(OH)2 Liesegang systems"
13045,Dynamical profiles of the reactive components in direct and revert Liesegang patterns
13046,Fractal structures in two-metal electrodeposition systems I: Pb and Zn
13047,Fractal structures in two-metal electrodeposition systems II: Cu and Zn
13048,"Morphology of a 2D Mg2 + / NH4 OH Liesegang pattern in zero, positive and negative radial electric field"
13049,Simulation of geochemical banding I: Acidization-precipitation experiments in a ferruginous limestone rock
13050,Effect of an alternating current electric field on Co(OH)2 periodic precipitation
13051,Ag fractal structures in electroless metal deposition systems with and without magnetic field
13052,"Studies on performance, immunity, and safety of broilers vaccinated with killed H9N2 vaccine and supplemented with essential oils of mentofin® in drinking water"
13053,Rhythmic precipitate patterns and fractal structure
13054,Liesegang bands versus random crystallites in Ag2Cr2O7 – Single and mixed gelled media
13055,Surface and structural studies in a PbCrO4 Liesegang pattern with revert spacing
13056,Routes to fractality and entropy in Liesegang systems
13057,Pattern formation dynamics in diverse physico-chemical systems
13058,Appraisal of a new patented method for control of chicken coccidiosis
13059,PH oscillations in the bromate-sulfite-perchloric acid reaction
13060,Simulation of geochemical banding: Theoretical modeling and fractal structure in acidization-diffusion-precipitation dynamics
13061,Random spacing between metal tree electrodeposits in linear DLA arrays
13062,Dynamics of Liesegang band formation in a multiple-precipitate toroidal reactor
13063,Mosaic Patterns in Reaction-Diffusion Systems
13064,Endolymphatic sac decompression and shunt placement
13065,Open source software: A community of altruists
13066,Volunteers in Wikipedia: Why the community matters
13067,Identifying the challenging factors in the transition from colleges of engineering to employment
13068,The flipped classroom model: when technology enhances professional skills
13069,Students’ perceptions of the flipped classroom model in an engineering course: a case study
13070,Disparity between college preparation and career demands for graduating engineers
13071,Can education reduce middle eastern fatalistic attitude regarding earthquake disasters?
13072,Students' enrollment in engineering: Motivational factors
13073,Promoting earthquake disaster mitigation in Lebanon through civic engagement
13074,Towards safer public school buildings in Lebanon: An advocacy for seismic retrofitting initiative
13075,High school students' perceptions of earthquake disaster: A comparative study of Lebanon and Turkey
13076,The effects of fatalism and denial on earthquake preparedness levels
13077,Are colleges in Lebanon preparing students for future earthquake disasters?
13078,Socio-cultural characteristics: the missing factor in disaster risk reduction strategy in sectarian divided societies
13079,Impact of college learning on engineering career practice
13080,Has the Educational System in Lebanon Contributed to the Growing Sectarian Divisions?
13081,Factors influencing the decision to enroll in an engineering PhD program
13082,Women engineers in the Middle East from enrollment to career: A case study
13083,Students' use of mobile technologies: Motivational factors
13084,Can Disaster Risk Education Reduce the Impacts of Recurring Disasters on Developing Societies?
13085,Developing effective earthquake risk reduction strategies: The potential role of academic institutions in Lebanon
13086,Stopping the tragedy before it occurs protecting lebanese public schools from upcoming earthquake disasters
13087,Revolutionising engineering education in the middle east region to promote earthquake-disaster mitigation
13088,Work in progress - Open source usability evaluation: The case of Moodle
13089,Are women engineers in Lebanon prepared for the challenges of an engineering profession?
13090,Contributing factors in pursuit of a Ph.D. in engineering: The case of lebanon
13091,How can school education impact earthquake risk reduction in Lebanon?
13092,Why School Resilience Should Be Critical for the Post-Earthquake Recovery of Communities in Divided Societies
13093,Challenges facing graduating engineers in transitioning from college to career
13094,Online learning during post-earthquake school closures
13095,Have globalisation’s influences on education contributed to the recent rise of Islamic extremism?
13096,Can Lebanon Survive Future Earthquake Disasters by Relying on a Military Response Strategy?
13097,Internet contribution to the engineering students' learning
13098,Practitioner engineers perceptions for a successful early employment career
13099,Mobile learning technologies as a means of maintaining education delivery in crisis situations
13100,The Dilemma of Terrorist Retaliations Against Schools in Sectarian Conflict Regions: The Case of Lebanon
13101,Risk assessment of high schools in Lebanon for potential terrorist threat
13102,Perceptions of engineering professors and students regarding the acceptance and use of moodle
13103,The uses of mobile technologies in the aftermath of terrorist attacks among low socioeconomic populations
13104,Perceptions of professors and students towards moodle: A case study
13105,Education to Reduce Recurring Conflicts
13106,The implication of school culture on building a cohesive pluralistic society: Evidence from Lebanon
13107,The assessment of earthquake preparatory knowledge and activities of lebanese engineering students
13108,Users' acceptance and use of moodle: The community influence
13109,Can Christian Reconciliation Bring Stability to Lebanon?
13110,Motivation to volunteer in earthquake mitigation programme among engineering students
13111,Attitudes toward pursuing doctoral studies in engineering
13112,Users' acceptance and use of moodle: The community influence
13113,Social Media’s Role in Peacebuilding and Post-Conflict Recovery
13114,What makes students enroll in engineering: A case study
13115,Progreen online engineering diploma in the Middle East: assessment of the educational experience
13116,Teachers left behind: Acceptance and use of technology in Lebanese public high schools
13117,Impact of internet use on the academic advancement of engineering students
13118,Are Islamic Militant Groups a Product of Religion?
13119,Toward the formation of competitive global engineers: The challenges facing engineering education in Lebanon
13120,Peace Profile: Nawal El Saadawi
13121,Volunteering in earthquake disaster programs: Engineering students' perceptions and motivations
13122,"Public reactions to the disaster COVID-19: a comparative study in Italy, Lebanon, Portugal, and Serbia"
13123,Impact of preoperative anaemia and blood transfusion on postoperative outcomes in gynaecological surgery
13124,Immunological differences in women compared with men: overview and contributing factors.
13125,Pregnancy outcomes and the effect of metformin treatment in women with polycystic ovary syndrome: An overview
13126,The effect of maternal fasting during Ramadan on preterm delivery: A prospective cohort study
13127,Prevalence and determinants of complementary and alternative medicine use among infertile patients in Lebanon: a cross sectional study
13128,A randomised controlled double-blind clinical trial of 17-hydroxyprogesterone caproate for the prevention of preterm birth in twin gestation (PROGESTWIN): Evidence for reduced neonatal morbidity
13129,"Anxiety, Cognitive, and Depressive Assessment in Adolescents with Polycystic Ovarian Syndrome: A Pilot Study"
13130,"Pruritic urticarial papules and plaques of pregnancy: Epidemiological, clinical, and histopathological study of 18 cases from Lebanon"
13131,Study protocol: Mother and Infant Nutritional Assessment (MINA) cohort study in Qatar and Lebanon
13132,Inadequacy of initiating rosuvastatin then metformin on biochemical profile of polycystic ovarian syndrome patients
13133,Attitudes of Lebanese university students towards surgical hymen reconstruction
13134,Intimate Partner Violence in a Lebanese Population Attending Gynecologic Care: A Cultural Perspective
13135,Split daily recombinant human LH dose in hypogonadotrophic hypogonadism: A nonrandomized controlled pilot study
13136,The effect of bariatric surgery on inflammatory markers in women with polycystic ovarian syndrome
13137,"Knowledge, attitudes and awareness regarding fertility preservation among oncologists and clinical practitioners in Lebanon"
13138,"The interaction of personal, contextual, and study characteristics and their effect on recruitment and participation of pregnant women in research: A qualitative study in Lebanon"
13139,Prevalence and correlation of hypothyroidism with pregnancy outcomes among Lebanese women
13140,Intravenous Oxytocin Use to Decrease Blood Loss during Scheduled Cesarean Delivery: A Randomized Double-Blinded Controlled Trial (OXYTRIAL)
13141,Review of current guidelines for recurrent pregnancy loss: new strategies for optimal evaluation of women who may be superfertile
13142,Parental Attitudes Toward Fertility Preservation in Female Adolescent Cancer Patients in Lebanon
13143,Management of weight loss in obesity-associated male infertility: a spotlight on bariatric surgery
13144,Two successful pregnancies in a patient with chemotherapy-induced ovarian failure while on hormone replacement therapy
13145,Syringocystadenoma papilliferum developing over hyperkeratosis of the nipple in a pregnant woman
13146,Idiopathic premature ovarian failure: What is the most suitable ovarian stimulation protocol?
13147,An investigational ovarian stimulation protocol increased significantly the psychological burden in women with premature ovarian failure
13148,Fever in women may interfere with follicular development during controlled ovarian stimulation
13149,The effect of religious background on the attitude towards sex selection
13150,No association between the presence of periodontal disease and poor IVF outcomes: A pilot study
13151,Induction of final follicle maturation with a gonadotropin-releasing hormone agonist in women at risk of ovarian hyperstimulation syndrome undergoing gonadotropin stimulation and intrauterine insemination: Proof-of-concept study
13152,Role of insulin-sensitizing drugs in PCOS management
13153,Laparoscopic Modified Vecchietti Technique for Mayer-Rokitansky-Küster-Hauser (MRKH) Syndrome: Report of Two Cases
13154,Ovarian teratoma: Yet another cause of immune thrombocytopenia
13155,"The wanderer. At 12 weeks' gestation, the patient presented with abdominal pain and a palpable mass"
13156,Cumulative live-birth rates by maternal age after one or multiple in vitro fertilization cycles: An institutional experience
13157,Fertility preservation in patients with BRCA mutation
13158,"Hormone Replacement Therapy: Lebanese Women's Awareness, Perception, and Acceptance"
13159,Towards the selection of embryos with the greatest implantation potential
13160,"The global financial crisis, financial linkages and correlations in returns and volatilities in emerging MENA stock markets"
13161,Financial inclusion and stability in MENA: Evidence from poverty and inequality
13162,Financial crises and contagion vulnerability of MENA stock markets
13163,Foreign shocks and international cost of equity destabilization. Evidence from the MENA region
13164,Sustainability of budget deficits and public debts in selected European Union countries
13165,Foreign currency borrowing by small firms in emerging markets: When domestic banks intermediate dollars
13166,Twin deficits and the sustainability of public debt and exchange rate policies in Lebanon
13167,The demand elasticity of mobile telephones in the Middle East and North Africa
13168,Are emerging MENA stock markets mean reverting? A monte carlo simulation
13169,Monetary policy transmission and targeting mechanisms in six MENA countries
13170,Sustainability of macroeconomic policies in selected MENA countries: Post financial and debt crises
13171,The eurozone debt crisis: A structural VAR approach
